user,hashtag,hour,weight
2815863258,1000,422351,3
2815863258,1001,422351,3
2815863258,1002,422351,3
2815863258,1003,422351,1
188684410,1004,422351,2
203332379,1005,422351,1
1468463726,1006,422351,1
1468463726,1007,422351,1
1180025371,1008,422351,1
1180025371,1009,422351,1
1180025371,1010,422351,1
516801659,1011,422351,1
516801659,1012,422351,1
516801659,1013,422351,1
3121750933,1014,422351,1
3121750933,1015,422351,1
1180025371,1016,422351,10
423862419,1017,422351,1
423862419,1018,422351,1
41823305,1019,422351,1
17035064,1020,422351,1
17035064,1021,422351,1
188684410,1022,422351,1
2987020974,1023,422351,1
158284320,1024,422351,1
21811086,1025,422351,1
21811086,1026,422351,1
427424201,1027,422351,1
2987020974,1028,422351,1
2987020974,1029,422351,1
51130342,1030,422351,2
31317891,1031,422351,1
50078242,1032,422351,1
50078242,1033,422351,1
268283923,1034,422351,1
516801659,1035,422351,1
516801659,1036,422351,1
516801659,1037,422351,1
516801659,1038,422351,1
21317544,1039,422351,1
21317544,1040,422351,1
1180025371,1041,422351,1
251776220,1042,422351,1
251776220,1043,422351,1
251776220,1044,422351,1
251776220,1045,422351,1
251776220,1046,422351,1
21317544,1047,422351,1
516801659,1048,422351,1
516801659,1049,422351,1
516801659,1050,422351,1
117517223,1051,422351,1
117517223,1052,422351,1
117517223,1053,422351,1
117517223,1054,422351,1
117517223,1055,422351,1
452483362,1056,422351,1
452483362,1057,422351,1
925539595957268480,1058,422351,1
925539595957268480,1059,422351,1
925539595957268480,1060,422351,1
925539595957268480,1061,422351,1
925539595957268480,1062,422351,1
925539595957268480,1063,422351,1
925539595957268480,1064,422351,1
3086338765,1003,422351,1
3086338765,1065,422351,1
785213265454374912,1066,422351,1
785213265454374912,1067,422351,1
785213265454374912,1068,422351,1
785213265454374912,1069,422351,1
785213265454374912,1070,422351,1
785213265454374912,1071,422351,1
503911925,1072,422351,1
503911925,1073,422351,1
503911925,1074,422351,1
503911925,1075,422351,1
503911925,1076,422351,1
31577021,1077,422351,1
31577021,1078,422351,1
31577021,1079,422351,1
31577021,1080,422351,1
48804747,1081,422351,1
48804747,1082,422351,1
48804747,1083,422351,1
48804747,1084,422351,1
18769024,1085,422351,1
18769024,1086,422351,1
18769024,1087,422351,1
42666285,1088,422352,1
42666285,1089,422352,1
42666285,1090,422352,1
2815863258,1000,422352,5
2815863258,1001,422352,5
2815863258,1002,422352,5
2815863258,1003,422352,5
18769024,1091,422352,1
18769024,1092,422352,1
31050688,1093,422352,1
31050688,1094,422352,1
31050688,1095,422352,1
31050688,1096,422352,1
31050688,1097,422352,1
31050688,1098,422352,1
31050688,1099,422352,1
31050688,1100,422352,1
31050688,1101,422352,1
2267807461,1102,422352,1
2267807461,1103,422352,1
795650513257791488,1104,422352,1
3131557383,1105,422352,1
3131557383,1106,422352,1
3131557383,1107,422352,1
3131557383,1108,422352,1
3131557383,1109,422352,1
2876946738,1110,422352,1
1377615098,1111,422352,1
75642091,1112,422352,1
75642091,1113,422352,1
75642091,1027,422352,1
17216173,1114,422352,1
1180025371,1010,422352,2
1180025371,1008,422352,2
1180025371,1115,422352,2
16966202,1116,422352,1
16966202,1117,422352,1
1180025371,1016,422352,5
31317891,1118,422352,1
31317891,1119,422352,1
31317891,1120,422352,1
165585348,1121,422352,1
165585348,1122,422352,1
19902649,1123,422352,1
19902649,1124,422352,1
19902649,1125,422352,1
394751034,1003,422352,1
713573958742904834,1126,422352,1
713573958742904834,1003,422352,1
26510688,1127,422352,1
26510688,1128,422352,1
26510688,1129,422352,1
26510688,1130,422352,1
26510688,1131,422352,1
26510688,1132,422352,1
7991842,1133,422352,1
7991842,1134,422352,1
7991842,1135,422352,1
7991842,1039,422352,1
7991842,1136,422352,1
15673984,1137,422352,1
15673984,1138,422352,1
15673984,1139,422352,1
253163980,1140,422352,1
253163980,1141,422352,1
253163980,1142,422352,1
253163980,1143,422352,1
18531506,1144,422352,3
18531506,1145,422352,3
18531506,1146,422352,3
18531506,1147,422352,3
18531506,1148,422352,3
18531506,1149,422352,3
1483039946,1150,422352,1
1483039946,1151,422352,1
1483039946,1152,422352,1
162805587,1090,422352,1
162805587,1153,422352,1
162805587,1154,422352,1
262170975,1155,422352,1
262170975,1156,422352,1
262170975,1157,422352,1
262170975,1158,422352,1
262170975,1159,422352,1
262170975,1160,422352,1
262170975,1161,422352,1
262170975,1162,422352,1
117578433,1163,422352,1
117578433,1164,422352,1
117578433,1165,422352,1
785213265454374912,1067,422352,2
785213265454374912,1068,422352,2
785213265454374912,1069,422352,2
785213265454374912,1070,422352,2
1180025371,1166,422352,2
27679852,1167,422352,1
27679852,1168,422352,1
1180025371,1169,422352,1
18531506,1170,422352,2
19836394,1171,422352,1
2992263956,1172,422352,1
2992263956,1173,422352,1
2992263956,1174,422352,1
2992263956,1175,422352,1
821942989778026496,1176,422352,1
1180025371,1177,422352,1
2815863258,1000,422353,1
2815863258,1001,422353,1
2815863258,1002,422353,1
1180025371,1010,422353,2
1180025371,1166,422353,3
1180025371,1008,422353,1
1180025371,1115,422353,2
1180025371,1169,422353,1
20667173,1178,422353,1
1410671952,1179,422353,1
