variant,manifestation,band_type,start_hour,end_hour,band_width_hours,hour_window_h,n_tw_in_band,min_hour,min_epsilon2_cco_ma3,ctw_hour,ctw_in_band,distance_to_ctw_h
manuscript,nat,grey,429580,429587,8,2,8,429582,0.049633333333333314,429623,False,41
manuscript,nat,grey,429604,429611,8,2,7,429608,0.21306666666666665,429623,False,15
manuscript,nat,grey,429628,429635,8,2,8,429628,0.19583333333333333,429623,False,5
manuscript,nat,grey,429652,429659,8,2,8,429656,0.06890000000000003,429623,False,33
manuscript,nat,orange,429620,429628,9,2,9,429623,0.123,429623,True,0
manuscript,9n,grey,436996,437003,8,1,8,436996,0.22863333333333333,437037,False,41
manuscript,9n,grey,437020,437027,8,1,8,437020,0.23173333333333326,437037,False,17
manuscript,9n,grey,437044,437051,8,1,8,437044,0.1516666666666666,437037,False,7
manuscript,9n,grey,437068,437075,8,1,8,437069,0.31296666666666656,437037,False,32
manuscript,9n,orange,437033,437043,11,1,11,437040,0.12226666666666659,437037,True,3
manuscript,9n,orange,437059,437062,4,1,4,437061,0.14366666666666658,437037,False,24
manuscript,9n,orange,437013,437018,6,1,6,437017,0.10549999999999994,437037,False,20
manuscript,ch,grey,394680,394687,8,2,8,394683,0.025033333333333296,394717,False,34
manuscript,ch,grey,394704,394711,8,2,8,394709,0.1468666666666666,394717,False,8
manuscript,ch,grey,394728,394735,8,2,8,394731,0.11249999999999989,394717,False,14
manuscript,ch,grey,394752,394754,3,2,2,394753,0.26053333333333323,394717,False,36
manuscript,ch,orange,394716,394724,9,2,9,394721,0.18763333333333324,394717,True,4
manuscript,ch,orange,394744,394746,3,2,3,394745,0.29189999999999994,394717,False,28
